"","beta[2]","beta[4]","beta[15]","beta[26]","beta[29]","beta[41]","beta[52]","beta[64]","beta[81]","beta[86]","beta[87]","beta[105]","beta[133]","beta[148]","beta[158]","beta[162]","beta[165]","beta[209]","beta[228]","beta[241]"
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.98497,0
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0772,0
"129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.46743,0
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.54915,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.09128,0
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.67386,0
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.81586,0
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.91835,0
"135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.8399,0
"136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5479,0
"137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.46217,0
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.39072,0
"139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.44478,0
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.31579,0
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.4875,0
"142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.65873,0
"143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.38192,0
"144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.42052,0
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.05937,0
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.94605,0
"147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.91792,0
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.3224,0
"149",0,0,0,0,0,0,-0.643529,0,0,0,0,0,0,0,0,0,0,0,-6.54084,0
"150",0,0,0,0,0,0,-0.635389,0,0,0,0,0,0,0,0,0,0,0,-6.38672,0
"151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.49047,0
"152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.66794,0
"153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.47562,0
"154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.74415,0
"155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.03143,0
"156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.40548,0
"157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.58271,0
"158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.49627,0
"159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547048,0,-6.35689,0
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.66522,0
"161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.68121,0
"162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.34991,0
"163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.27783,0
"164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.28884,0
"165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.44429,0
"166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.46009,0
"167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.15748,0
"168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.582,0
"169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.48252,0
"170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.19978,0
"171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.54213,0
"172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.62433,0
"173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.13242,0
