"","beta[76]","beta[93]"
"913",9.15212,-2.15513
"914",9.45199,-3.04043
"915",9.43426,-1.22582
"916",8.95985,0
"917",7.51602,0
"918",7.85475,0
"919",8.33272,0
"920",8.15373,0
"921",8.53315,0
"922",7.9035,0
"923",7.98941,0
"924",8.00689,0
"925",7.86332,0
"926",8.41558,0
"927",7.509,0
"928",7.69193,0
"929",7.60759,0
"930",7.66146,0
"931",8.33225,0
"932",8.20435,0
"933",8.32795,0
"934",8.10891,0
"935",7.94063,0
"936",7.94072,0
"937",7.68837,0
"938",7.76891,0
"939",8.19807,0
"940",7.47047,0
"941",7.70464,0
"942",7.4182,0
"943",6.4833,0
"944",6.01322,0
"945",6.23995,0
"946",6.68079,0
"947",6.66466,0
"948",7.18298,0
"949",7.12599,0
"950",7.17917,0
"951",7.04895,0
"952",7.44068,0
"953",7.76726,0
"954",7.82132,0
"955",7.77559,0
"956",8.0504,0
"957",9.14646,0
"958",8.05757,0
"959",7.80556,0
"960",8.04251,0
"961",8.23876,0
"962",8.10385,0
"963",7.56833,0
"964",7.65001,0
"965",7.90201,0
"966",7.54122,0
"967",7.47872,0
"968",7.24637,0
"969",9.00884,0
"970",8.94914,0
"971",8.92426,0
"972",8.89194,0
"973",7.9067,0
"974",7.89972,0
"975",7.95389,0
"976",7.70484,0
"977",7.97983,0
"978",7.90289,0
"979",7.54179,0
"980",8.34196,0
"981",8.68362,0
"982",9.36333,0
"983",8.29709,0
"984",7.65037,0
"985",7.61331,0
"986",7.9615,0
"987",7.41007,0
"988",7.80617,0
"989",8.12493,0
"990",8.13055,0
"991",7.88572,0
"992",8.04918,0
"993",8.14041,0
"994",8.13172,0
"995",7.95265,0
"996",7.87847,0
"997",7.61686,0
"998",7.96108,0
"999",7.96229,0
"1000",7.9438,0
"1001",7.91197,0
"1002",7.36044,0
"1003",7.72026,0
"1004",7.9274,0
"1005",8.67746,0
"1006",8.99562,0
"1007",8.88607,0
"1008",9.08732,0
"1009",9.06379,0
"1010",9.02152,0
"1011",8.81116,0
"1012",8.6962,0
"1013",8.94192,0
"1014",8.94275,0
"1015",8.73286,0
"1016",8.78216,0
"1017",8.82506,0
"1018",8.40313,0
"1019",8.63557,0
"1020",8.65308,0
"1021",8.72935,0
"1022",8.73639,0
"1023",8.38461,0
"1024",8.51811,0
"1025",8.57738,0
"1026",8.23275,0
"1027",8.47327,0
"1028",8.63121,0
"1029",8.57134,0
"1030",8.36851,0
"1031",8.52925,0
"1032",8.5427,0
"1033",8.49571,0
"1034",8.45692,0
"1035",8.34237,0
"1036",8.3444,0
"1037",8.51082,0
"1038",8.36301,0
"1039",8.42938,0
"1040",8.28224,0
"1041",8.58439,0
"1042",8.51113,0
"1043",8.75219,0
"1044",8.77838,0
"1045",8.83139,0
"1046",8.69852,0
"1047",8.56351,0
"1048",8.63189,0
"1049",8.735,0
"1050",8.88811,0
"1051",8.91467,0
"1052",8.7951,0
"1053",8.66523,0
"1054",8.73509,0
"1055",8.67737,0
"1056",8.66092,0
"1057",8.71922,0
"1058",8.51501,0
"1059",8.67006,0
"1060",8.60452,0
"1061",8.5131,0
"1062",8.57934,0
"1063",8.5353,0
"1064",8.5589,0
"1065",8.60098,0
"1066",8.64165,0
"1067",8.48696,0
"1068",8.55432,0
"1069",8.57529,0
"1070",8.57192,0
"1071",8.741,0
"1072",8.63586,0
"1073",8.63557,0
"1074",8.61061,0
"1075",8.87521,0
"1076",8.7619,0
"1077",8.71709,0
"1078",8.95015,0
"1079",8.88217,0
"1080",8.72545,0
"1081",8.68438,0
"1082",8.69514,0
"1083",8.51408,0
"1084",8.59904,0
"1085",8.57181,0
"1086",8.60116,0
"1087",8.61519,0
"1088",8.62071,0
"1089",8.50172,0
"1090",8.68353,0
"1091",8.62639,0
"1092",8.60722,0
"1093",8.63181,0
"1094",8.62437,0
"1095",8.64673,0
"1096",8.59148,0
"1097",8.677,0
"1098",8.60802,0
"1099",8.52362,0
"1100",8.39085,0
"1101",8.32947,0
"1102",8.39302,0
"1103",8.74534,0
"1104",8.96084,0
"1105",8.68056,0
