"","x"
"777",12.3443
"778",12.7936
"779",12.5186
"780",13.158
"781",12.8644
"782",12.2435
"783",12.4987
"784",12.2354
"785",12.1213
"786",12.068
"787",12.2021
"788",12.4577
"789",12.3486
"790",12.5062
"791",12.5408
"792",12.8222
"793",12.6476
"794",12.2568
"795",13.0123
"796",12.6872
"797",12.9152
"798",12.6126
"799",12.3875
"800",12.3621
"801",13.3185
"802",13.4701
"803",13.3672
"804",13.6925
"805",13.5405
"806",12.5223
"807",12.8542
"808",12.1736
"809",11.8404
"810",11.7948
"811",11.7206
"812",11.481
"813",11.6763
"814",11.577
"815",12.0582
"816",12.3837
"817",12.6604
"818",12.3057
"819",12.8239
"820",12.7715
"821",12.4887
"822",12.3013
"823",11.8221
"824",12.0795
"825",12.172
"826",12.1834
"827",12.0422
"828",11.9145
"829",11.8619
"830",11.8766
"831",12.2969
"832",12.3721
"833",12.434
"834",12.8384
"835",12.8534
"836",12.4948
"837",12.5194
"838",12.2411
"839",12.0208
"840",12.1339
"841",12.763
"842",11.953
"843",12.3356
"844",13.0087
"845",13.0397
"846",12.68
"847",12.5957
"848",12.6717
"849",12.9155
"850",12.8645
"851",12.9128
"852",12.8165
"853",12.2608
"854",12.5086
"855",12.3968
"856",12.4707
"857",12.4278
"858",12.3841
"859",12.2145
"860",12.3277
"861",12.7251
"862",12.8127
"863",12.6195
"864",12.9873
"865",12.5713
"866",12.6423
"867",12.2701
"868",12.2238
"869",12.1317
"870",12.3376
"871",12.3872
"872",12.7748
"873",12.728
"874",12.8156
"875",12.0067
"876",12.1944
"877",11.761
"878",12.3962
"879",12.5893
"880",12.9122
"881",12.8919
"882",12.9615
"883",12.6207
"884",12.5138
"885",12.042
"886",13.0513
"887",11.7974
"888",12.085
"889",11.4711
"890",12.3806
"891",11.7227
"892",13.0479
"893",13.9543
"894",14.4591
"895",14.4718
"896",13.6927
"897",13.4092
"898",13.5061
"899",13.2826
"900",13.0376
"901",13.1953
"902",13.3019
"903",12.7522
"904",12.6736
"905",12.1321
"906",11.9493
"907",11.9614
"908",11.8821
"909",12.123
"910",12.2076
"911",12.0783
"912",12.4633
"913",12.1047
"914",12.2573
"915",11.5799
"916",11.2922
"917",10.9455
"918",11.2918
"919",11.2971
"920",11.2948
"921",12.8343
