"","beta[246]","beta[247]","beta[264]","beta[431]"
"348",0,-8.12873,10.9363,-12.3807
"349",0,-8.20546,10.9678,-12.536
"350",0,-8.17138,11.0216,-12.8923
"351",0,-8.20231,10.9349,-12.7102
"352",0,-8.2638,10.8717,-12.6504
"353",0,-8.37291,11.016,-12.6567
"354",0,-8.36798,11.1689,-12.5108
"355",0,-8.38216,10.9554,-12.6342
"356",0,-8.1282,11.4346,-12.5699
"357",0,-8.13212,11.21,-12.4686
"358",0,-7.98805,10.8791,-12.5084
"359",0,-8.18423,10.9154,-12.764
"360",0,-8.08153,10.9863,-12.4973
"361",0,-8.33065,11.0387,-12.6643
"362",0,-8.27741,10.6951,-12.9122
"363",0,-8.25726,11.1591,-12.7521
"364",0,-8.39767,10.9864,-12.3415
"365",0,-8.30923,10.7823,-12.6952
"366",0,-8.42441,11.0324,-12.6616
"367",0,-8.25259,10.9829,-12.727
"368",0,-8.00277,11.1135,-12.5771
"369",0,-8.2033,11.0726,-12.7342
"370",0,-8.36583,11.1199,-12.6885
"371",0,-8.2523,11.0594,-12.7706
"372",0,-8.2705,11.0166,-12.7855
"373",0,-8.17176,10.8776,-12.1454
"374",0,-8.374,11.2261,-12.7319
"375",0,-8.39092,10.9595,-12.6016
"376",0,-8.12297,10.7234,-12.4965
"377",0,-8.29859,10.9906,-12.7218
"378",0,-8.39252,11.153,-12.9124
"379",0,-8.52619,11.0432,-12.5082
"380",0,-8.19195,11.1168,-12.8057
"381",0,-8.38814,11.0957,-12.6982
"382",0,-8.35745,10.7173,-12.413
"383",0,-8.21939,11.2161,-12.5273
"384",0,-8.08933,10.963,-12.55
"385",0,-8.34229,10.8776,-12.3891
"386",0,-8.2672,10.9493,-12.7897
"387",0,-8.40959,11.0505,-12.6099
"388",0,-8.21745,11.0253,-12.4157
"389",0,-8.261,11.2166,-12.7095
"390",0,-8.12892,10.9348,-12.5405
"391",0,-8.3465,11.1578,-12.3246
"392",0,-8.46534,10.9384,-12.6197
"393",0,-8.30988,10.8076,-12.6115
"394",0,-8.29257,10.9695,-12.7838
"395",0,-8.15712,11.0077,-12.4941
"396",0,-8.19975,10.934,-12.4426
"397",0,-8.22738,11.0787,-12.6304
"398",0,-8.30805,11.0851,-12.6271
"399",0,-8.30315,11.002,-12.6483
"400",0,-8.34984,10.9455,-12.6921
"401",0,-8.10907,11.1704,-12.4005
"402",0,-8.12849,10.8881,-12.7211
"403",0,-8.36693,11.087,-12.9938
"404",0,-8.28068,10.8278,-12.7416
"405",0,-8.21834,10.9955,-12.4046
"406",0,-8.16387,11.2699,-12.5391
"407",0,-8.06368,11.0835,-12.7865
"408",0,-8.27746,10.9223,-12.5252
"409",0,-8.50284,11.0968,-12.4631
"410",0,-8.13743,10.7751,-12.6199
"411",0,-8.11378,10.9716,-12.6918
"412",0,-8.38831,10.9117,-12.4371
"413",0,-8.61648,11.22,-12.6891
"414",0,-8.41923,10.7736,-12.3398
"415",0,-8.53699,10.8742,-12.8169
"416",0,-8.51021,11.407,-12.4765
"417",0,-8.30887,11.1607,-12.8353
"418",0,-8.03813,11.3474,-12.6042
"419",0,-8.3857,11.2647,-12.3687
"420",0,-8.26785,11.095,-12.5157
"421",0,-8.14882,11.2383,-12.5476
"422",0,-8.15837,11.1564,-12.6461
"423",0,-8.25611,10.9113,-12.4076
"424",0,-8.13579,10.9973,-12.5371
"425",0,-8.19183,11.1926,-12.5447
"426",0,-8.26375,11.2165,-12.7787
"427",0,-8.56201,11.3302,-12.4224
"428",0,-8.26555,10.9452,-12.7753
"429",0,-8.51099,10.9004,-12.5958
"430",0,-8.20427,10.9558,-12.7983
"431",0,-8.05426,11.4015,-12.5694
"432",0,-8.14558,10.9721,-12.5963
"433",0,-8.53474,10.886,-12.7623
"434",0,-8.12511,10.9586,-12.6843
"435",0,-7.97049,11.1636,-12.7554
"436",0,-8.12377,10.9122,-12.7607
"437",0,-8.08704,10.8108,-12.8361
"438",0,-8.30367,11.2043,-12.5991
"439",0,-8.12613,11.0697,-12.6796
"440",0,-8.36357,11.2505,-12.6269
"441",0,-8.16538,10.9654,-12.6657
"442",0,-8.19182,10.9597,-12.7517
"443",0,-8.26713,10.9006,-12.4791
"444",0,-8.22756,10.9442,-12.8486
"445",0,-8.23191,11.1412,-12.6188
"446",0,-8.34691,10.9573,-12.5586
"447",0,-7.92346,11.335,-12.6007
"448",0,-8.29685,11.1895,-12.5544
"449",0,-8.19401,11.142,-12.367
"450",0,-8.00411,10.9364,-12.3434
"451",0,-8.34328,11.0798,-12.768
"452",0,-8.40379,10.8067,-12.6863
"453",0,-8.43349,11.2626,-12.8042
"454",0,-8.31932,10.9925,-12.7072
"455",0,-8.07327,10.8648,-12.5107
"456",0,-8.33975,11.008,-12.3255
"457",0,-8.43391,11.1348,-12.6921
"458",0,-8.01996,11.0876,-12.2219
"459",0,-8.33559,10.8749,-12.8395
"460",0,-8.28534,10.9933,-12.8365
"461",0,-8.28166,11.0043,-12.4244
"462",0,-8.1014,10.9027,-12.4239
"463",0,-8.15773,10.9533,-12.9616
"464",0,-8.20724,10.8929,-12.669
"465",0,-8.22483,10.9587,-12.5889
"466",0,-8.49919,10.9769,-12.4796
"467",0,-8.37242,10.8425,-12.5554
"468",0,-7.97222,11.1096,-12.6251
"469",0,-8.44247,10.9704,-12.5837
"470",0,-8.2947,11.2957,-12.788
"471",0,-8.3273,11.0286,-12.5218
"472",0,-8.15632,10.8705,-12.6497
"473",0,-8.11834,10.8881,-12.6525
"474",0,-8.39551,11.1779,-12.7769
"475",0,-8.65317,10.9832,-12.8123
"476",0,-7.91382,11.168,-12.9524
"477",0,-8.13806,10.9086,-12.7586
"478",0,-8.3978,11.1591,-12.2682
"479",0,-8.45576,11.0308,-12.5002
"480",0,-7.94094,11.2488,-12.7434
"481",0,-8.29463,10.7642,-12.4641
"482",0,-8.20449,10.9655,-12.6805
"483",0,-8.14383,11.1098,-12.6568
"484",0,-8.38,11.1927,-12.7878
"485",0,-8.1725,10.7713,-12.9363
"486",-0.0161731,-8.04339,10.9698,-12.9107
"487",0,-8.24013,10.9967,-12.6662
"488",0,-8.14499,11.0957,-12.6475
"489",0,-8.26574,10.8357,-12.467
"490",0,-8.21677,10.8549,-12.6935
"491",0,-8.25931,11.05,-12.6697
"492",0,-8.30943,11.3975,-12.5489
"493",0,-8.41185,10.9983,-12.6173
"494",0,-8.19931,10.9449,-12.4946
"495",0,-8.46562,11.0212,-12.5934
"496",0,-7.97996,10.9011,-12.7127
"497",0,-8.36663,10.9444,-12.8252
"498",0,-8.05758,10.6812,-12.7647
"499",0,-8.33621,11.0261,-12.6693
"500",0,-8.29606,10.9126,-12.7693
"501",0,-7.91115,10.8908,-12.6049
"502",0,-8.2164,10.855,-12.5796
"503",0,-8.27644,11.1196,-12.5202
"504",0,-8.47677,11.2348,-12.7047
"505",0,-8.35384,11.0029,-12.6117
"506",0,-8.24765,10.9697,-12.6679
"507",0,-8.35121,10.9208,-12.6251
"508",0,-7.96858,11.2016,-12.3248
"509",0,-8.43024,11.0869,-12.4292
"510",0,-8.42955,10.9898,-12.6486
"511",0,-8.30091,11.2166,-12.3107
"512",0,-8.08091,10.7963,-12.5764
"513",0,-8.25424,10.8797,-12.7354
"514",0,-7.96554,11.0195,-12.3754
