"","beta[115]","beta[161]"
"1129",0,-2.85649
"1130",0,-3.19221
"1131",0,-2.985
"1132",0,-2.9755
"1133",0,-2.68408
"1134",0,-2.7573
"1135",0,-2.87648
"1136",0,-3.07082
"1137",-0.380085,-3.211
"1138",-0.477864,-3.40056
"1139",-0.548182,-3.58247
"1140",-0.40922,-3.5846
"1141",0,-3.27216
"1142",0,-3.31745
"1143",0,-3.29232
"1144",0,-2.87548
"1145",0,-2.98223
"1146",0,-2.81149
"1147",0,-3.31592
"1148",0,-3.30241
"1149",0,-2.96616
"1150",0,-2.98856
"1151",0,-2.97485
"1152",0,-3.03827
"1153",0,-3.03713
"1154",0,-2.85878
"1155",0,-2.64203
"1156",0,-2.62022
"1157",0,-2.78952
"1158",0,-2.79174
"1159",0,-2.93461
"1160",0,-3.27511
"1161",0,-3.04326
"1162",0,-3.02674
"1163",0,-2.99609
"1164",0,-3.01701
"1165",0,-2.99969
"1166",0,-3.08198
"1167",0,-3.0117
"1168",0,-2.90515
"1169",0,-2.96213
"1170",0,-3.0241
"1171",0,-3.05689
"1172",0,-2.90972
"1173",0,-3.03305
"1174",0,-2.99186
"1175",0,-3.00703
"1176",0,-2.98143
"1177",0,-3.05079
"1178",0,-3.14838
"1179",0,-3.07821
"1180",0,-3.05674
"1181",0,-3.35322
"1182",0,-3.35753
"1183",0,-2.75736
"1184",0,-2.69914
"1185",0,-2.51311
"1186",0,-2.51727
"1187",0,-2.59563
"1188",0,-2.43874
"1189",0,-2.62709
"1190",0,-2.7976
"1191",0,-2.90437
"1192",0,-3.05747
"1193",0,-3.12209
"1194",0,-3.29362
"1195",0,-3.13838
"1196",0,-3.27208
"1197",0,-3.07257
"1198",0,-2.9597
"1199",0,-2.97765
"1200",0,-2.8745
"1201",0,-3.0547
"1202",0,-3.11041
"1203",0,-3.24518
"1204",0,-3.26603
"1205",0,-2.87628
"1206",0,-2.95528
"1207",0,-3.01556
"1208",0,-2.86205
"1209",0,-2.90941
"1210",0,-3.23571
"1211",0,-3.30506
"1212",0,-3.08008
"1213",0,-3.07919
"1214",0,-3.07325
"1215",0,-3.25981
"1216",0,-3.24563
"1217",0,-3.1613
"1218",0,-3.01363
"1219",0,-3.01575
"1220",0,-3.01917
"1221",0,-2.93011
"1222",0,-3.04716
"1223",0,-3.03958
"1224",0,-3.10624
"1225",0,-2.97017
"1226",0,-3.15415
"1227",0,-3.28881
"1228",0,-3.33701
"1229",0,-3.17053
"1230",0,-3.05483
"1231",0,-3.23669
"1232",0,-3.04395
"1233",0,-3.05911
"1234",0,-2.91173
"1235",0,-3.23382
"1236",0,-3.11985
"1237",0,-3.13659
